Country,State,Year,Total Registered Motor Vehicles (UOM:Number),Percentage Share (UOM:%(Percentage)),Vehicle Class,Category Of Vehicle,Production Of Motor Vehicles (UOM:Number),Year
India,Telangana,"Financial Year (Apr - Mar), 2016",9844421,3.89,Two Wheelers,Electric Two Wheelers,24179,"Financial Year (Apr - Mar), 2008"
India,Bihar,"Financial Year (Apr - Mar), 2015",5482329,2.38,Three-Wheelers,Three Wheelers,556126,"Financial Year (Apr - Mar), 2006"
India,Uttarakhand,"Financial Year (Apr - Mar), 2019",2898982,0.89,Two Wheelers,Mopeds,869562,"Financial Year (Apr - Mar), 2017"
India,Manipur,"Financial Year (Apr - Mar), 2016",340211,0.13,Commercial Vehicles,Medium & Heavy Commercial Vehicles (M & HCVs),192283,"Financial Year (Apr - Mar), 2008"
India,Jharkhand,"Financial Year (Apr - Mar), 2016",3385347,1.34,Two Wheelers,Electric Two Wheelers,,"Financial Year (Apr - Mar), 2012"
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2017",10796015,3.96,Commercial Vehicles,LCVs (Light Commercial Vehicles),668049,"Financial Year (Apr - Mar), 2018"
India,Manipur,"Financial Year (Apr - Mar), 2018",361970,0.12,Quadricycle,Quadricycle,,"Financial Year (Apr - Mar), 2009"
India,Nagaland,"Financial Year (Apr - Mar), 2015",380364,0.17,Passenger Vehicles,Vans,107164,"Financial Year (Apr - Mar), 2020"
India,Odisha,"Financial Year (Apr - Mar), 2017",7423927,2.72,Commercial Vehicles,LCVs (Light Commercial Vehicles),553184,"Financial Year (Apr - Mar), 2012"
India,Tripura,"Financial Year (Apr - Mar), 2015",319482,0.14,Two Wheelers,Scooters,1494409,"Financial Year (Apr - Mar), 2009"
India,Rajasthan,"Financial Year (Apr - Mar), 2016",14900562,5.88,Two Wheelers,Mopeds,649678,"Financial Year (Apr - Mar), 2019"
India,Nagaland,"Financial Year (Apr - Mar), 2016",410178,0.16,Two Wheelers,Mopeds,436219,"Financial Year (Apr - Mar), 2008"
India,Haryana,"Financial Year (Apr - Mar), 2017",7733002,2.84,Two Wheelers,Scooters,5926499,"Financial Year (Apr - Mar), 2016"
India,Karnataka,"Financial Year (Apr - Mar), 2018",21070551,7.12,Three Wheelers,Three Wheelers,839742,"Financial Year (Apr - Mar), 2012"
India,The Dadra And Nagar Haveli And Daman And Diu,"Financial Year (Apr - Mar), 2018",123522,0.02,Two Wheelers,Electric Two Wheelers,457,"Financial Year (Apr - Mar), 2019"
India,West Bengal,"Financial Year (Apr - Mar), 2015",6488389,2.82,Passenger Vehicles,Passenger Cars,2416862,"Financial Year (Apr - Mar), 2014"
India,Jharkhand,"Financial Year (Apr - Mar), 2018",3385347,1.14,Two Wheelers,Scooters,7117795,"Financial Year (Apr - Mar), 2017"
India,Manipur,"Financial Year (Apr - Mar), 2017",307917,0.11,Two Wheelers,Mopeds,919032,"Financial Year (Apr - Mar), 2016"
India,Haryana,"Financial Year (Apr - Mar), 2018",8599668,2.91,Quadricycle,Quadricycle,,"Financial Year (Apr - Mar), 2014"
